name,hiredate,08depcode,08job,eightsal,eightOT,eightcals,eightTotal,09depcode,09job,ninesal,nineOT,ninecals,nineTotal,10depcode,10job,tensal,tenOT,tencals,tenTotal,11depcode,11job,elevensal,elevenOT,elevencals,elevenTotal,12depcode,12job,twelvesal,twelveOT,twelvecals,twelveTotal,13depcode,13job,thirteensal,thirteenOT,thirteencals,thirteenTotal
f1,11/16/1969,2,Fire Lieutenant                                   ,69307.53,21517.86,21517.86,90825.39,2,Fire Lieutenant                                   ,70000.61,16047.57,16047.57,86048.18,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f2,1/16/1970,2,Fire Captain                                      ,79576.02,19997,19997,99573.02,2,Fire Captain                                      ,80371.78,19528.15,19528.15,99899.93,2,Fire Captain                                      ,80371.78,10722.62,10722.62,91094.4,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,Fire Captain                                      ,0,0,NaN,0
f3,4/1/1971,2,Firefighter EMT-Enhanced                          ,54007.82,2118.43,2118.43,56126.25,2,Firefighter EMT-Enhanced                          ,54547.9,2115.84,2115.84,56663.74,2,Firefighter EMT-Enhanced                          ,55911.6,1102.79,1102.79,57014.39,2,Firefighter EMT-Enhanced                          ,55911.6,693.36,693.36,56604.96,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f4,8/1/1973,2,Firefighter EMT                                   ,48929.31,3676.2,3676.2,52605.51,2,Firefighter EMT                                   ,49418.6,3335.11,3335.11,52753.71,2,Firefighter EMT                                   ,49418.6,3310.2,3310.2,52728.8,2,Firefighter EMT                                   ,49418.6,2494.64,2494.64,51913.24,2,Firefighter EMT                                   ,49418.6,1868.7,1868.7,51287.3,2,Firefighter EMT                                   ,51526.9,2871.7,2871.7,54398.6
f5,11/16/1973,2,Firefighter EMT                                   ,48929.31,15979.28,15979.28,64908.59,2,Firefighter EMT                                   ,49418.6,13062.01,13062.01,62480.61,2,Firefighter EMT                                   ,49418.6,17251.89,17251.89,66670.49,2,Firefighter EMT                                   ,49418.6,12656.77,12656.77,62075.37,2,Firefighter EMT                                   ,49418.6,12568.09,12568.09,61986.69,2,Firefighter EMT                                   ,50855.8,28319.98,28319.98,79175.78
f6,7/1/1974,2,Fire Captain                                      ,75740.68,17613.33,17613.33,93354.01,2,Fire Captain                                      ,78411.04,12790.33,12790.33,91201.37,2,Fire Captain                                      ,78411.04,9980.82,9980.82,88391.86,2,Fire Captain                                      ,78411.04,4471.09,4471.09,82882.13,2,Fire Captain                                      ,78411.04,4468.77,4468.77,82879.81,2,Fire Captain                                      ,91623.04,5185.84,5185.84,96808.88
f7,8/1/1974,2,Fire Captain                                      ,77634.69,17957.04,17957.04,95591.73,2,Fire Captain                                      ,80371.78,12114.82,12114.82,92486.6,2,Fire Captain                                      ,80371.78,6172.33,6172.33,86544.11,2,Fire Captain                                      ,80371.78,2595.01,2595.01,82966.79,2,Fire Captain                                      ,80371.78,980.86,980.86,81352.64,2,N/A,0,0,NaN,0
f8,1/1/1975,2,Fire Captain                                      ,73892.81,11975.76,11975.76,85868.57,2,Fire Captain                                      ,76498.09,9988.69,9988.69,86486.78,2,Fire Captain                                      ,78411.04,10135.82,10135.82,88546.86,2,Fire Captain                                      ,78411.04,6998.63,6998.63,85409.67,2,Fire Captain                                      ,78411.04,3020.08,3020.08,81431.12,2,Fire Captain                                      ,79981.68,7359.6,7359.6,87341.28
f9,2/18/1975,2,Fire Captain                                      ,79576.02,16352.58,16352.58,95928.6,2,Fire Captain                                      ,80371.78,15489.85,15489.85,95861.63,2,Fire Captain                                      ,80371.78,6542.94,6542.94,86914.72,2,Fire Captain                                      ,80371.78,4796.01,4796.01,85167.79,2,Fire Captain                                      ,80371.78,6140.83,6140.83,86512.61,2,Fire Captain                                      ,82345.41,13755.2,13755.2,96100.61
f10,3/10/1975,2,Firefighter EMT                                   ,48929.31,4447.2,4447.2,53376.51,2,Firefighter EMT                                   ,49418.6,3697.16,3697.16,53115.76,2,Firefighter EMT                                   ,49418.6,667.53,667.53,50086.13,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
f11,3/28/1975,2,Fire Captain                                      ,79576.02,6335.72,6335.72,85911.74,2,Fire Captain                                      ,80371.78,4591.48,4591.48,84963.26,2,Fire Captain                                      ,80371.78,6071.58,6071.58,86443.36,2,Fire Captain                                      ,80371.78,2659.93,2659.93,83031.71,2,Fire Captain                                      ,80371.78,3715.26,3715.26,84087.04,2,N/A,0,0,NaN,0
f12,7/1/1975,2,Firefighter EMT-Enhanced                          ,54007.82,1378.97,1378.97,55386.79,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0,2,N/A,0,0,NaN,0
