name,hiredate,08depcode,08job,eightsal,eightOT,eightcals,eightTotal,09depcode,09job,ninesal,nineOT,ninecals,nineTotal,10depcode,10job,tensal,tenOT,tencals,tenTotal,11depcode,11job,elevensal,elevenOT,elevencals,elevenTotal,12depcode,12job,twelvesal,twelveOT,twelvecals,twelveTotal,13depcode,13job,thirteensal,thirteenOT,thirteencals,thirteenTotal
p1,7/10/1970,1,Photographic Lab Technician                       ,43837.49,616.47,616.47,44453.96,1,Photographic Lab Technician                       ,44275.86,824.84,824.84,45100.7,1,Photographic Lab Technician                       ,44275.86,351.22,351.22,44627.08,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p2,7/5/1972,1,Police Sergeant                                   ,68621.82,1154.44,1154.44,69776.26,1,Police Sergeant                                   ,71015.15,104.95,104.95,71120.1,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p3,9/1/1972,1,Police Officer                                    ,57887.15,904.84,904.84,58791.99,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p4,7/16/1973,1,Police Sergeant                                   ,73820.81,35033.8,35033.8,108854.61,1,Police Sergeant                                   ,74559.02,25163.6,25163.6,99722.62,1,Police Sergeant                                   ,74559.02,5511.25,5511.25,80070.27,1,Police Sergeant                                   ,74559.02,2585.36,2585.36,77144.38,1,Police Sergeant                                   ,74559.02,4077.42,4077.42,78636.44,1,Police Sergeant                                   ,68364.2,4067.58,4067.58,72431.78
p5,11/30/1973,1,Police Sergeant                                   ,73820.81,34656.71,34656.71,108477.52,1,Police Sergeant                                   ,74559.02,31275.26,31275.26,105834.28,1,Police Sergeant                                   ,74559.02,28443.44,28443.44,103002.46,1,Police Sergeant                                   ,74559.02,24796.14,24796.14,99355.16,1,Police Sergeant                                   ,74559.02,20230.27,20230.27,94789.29,1,N/A,0,0,NaN,0
p6,5/1/1975,1,Police Sergeant                                   ,73820.81,38542.97,38542.97,112363.78,1,Police Sergeant                                   ,74559.02,43709.22,43709.22,118268.24,1,Police Sergeant                                   ,74559.02,4717.98,4717.98,79277,1,Police Sergeant                                   ,74559.02,1169.47,1169.47,75728.49,1,Police Sergeant                                   ,74559.02,1187.39,1187.39,75746.41,1,Police Sergeant                                   ,76519.29,1846.4,1846.4,78365.69
p7,7/2/1975,1,Administrative Assistant I                        ,47437.85,1622.22,1622.22,49060.07,1,Administrative Assistant I                        ,47912.23,60.47,60.47,47972.7,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,Administrative Assistant I                        ,47912.23,414.63,414.63,48326.86,1,Administrative Assistant I                        ,48872.4,44.05,44.05,48916.45
p8,9/22/1975,1,Police Officer                                    ,57887.15,2699.76,2699.76,60586.91,1,Police Sergeant                                   ,62884.49,1315.38,1315.38,64199.87,1,Police Sergeant                                   ,64431.22,557.56,557.56,64988.78,1,Police Sergeant                                   ,64431.22,1487.89,1487.89,65919.11,1,Police Sergeant                                   ,64431.22,2183.91,2183.91,66615.13,1,Police Sergeant                                   ,65975.08,1788.45,1788.45,67763.53
p9,10/16/1975,1,N/A,0,0,NaN,0,1,Police Officer                                    ,58466.02,42.16,42.16,58508.18,1,Police Officer                                    ,58466.02,105.41,105.41,58571.43,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p10,11/7/1975,1,Police Officer                                    ,57887.15,36392.93,36392.93,94280.08,1,Police Officer                                    ,58466.02,23939.04,23939.04,82405.06,1,Police Officer                                    ,58466.02,19593.79,19593.79,78059.81,1,Police Officer                                    ,58466.02,1983.87,1983.87,60449.89,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
